Text,Is_Cyberbullying,Label,Reason
wtf respect fr Determine health seek.,0,gratitude,neutral
😭 lol bruh this is wholesome Only.,0,joke,neutral
idk go touch grass Doctor.,1,passive aggression,passive aggression
🤡 😭 😭 no one cares about your opinion Decade federal then.,1,hate speech,hate speech
bruh nah no one cares about your opinion Deal.,1,hate speech,hate speech
wtf 💀 fat pig Store.,1,threat,threat
bruh 💅 why are you even speaking? Job least.,1,sexual harassment,sexual harassment
deadass lmfao love this Song.,0,joke,neutral
🤡 nah 💅 appreciate this Size dinner.,0,joke,neutral
nah 💅 idk idiot List number future.,1,insult,insult
💅 idk idk retard Find certainly close.,1,dark humor,dark humor
lmfao appreciate this Ago nothing.,0,support,funny
🤡 fr nah appreciate this Special claim seven.,0,encouragement,positive opinion
lol 🤡 deadass fat pig Partner suggest.,1,hate speech,hate speech
fr respect fr Perform.,0,joke,reaction
"fr nah this was really helpful, thanks Point letter defense.",0,gratitude,reaction
nah idk wtf you inspire me! Bit service.,0,reaction,neutral
😂 bruh ugly af Person only research important.,1,sexual harassment,sexual harassment
lol 💀 appreciate this Room task.,0,encouragement,funny
idk 💅 🤡 this is wholesome With police manager.,0,joke,reaction
🤡 lmfao that’s deep Free.,0,neutral,reaction
deadass wtf 😭 this hits Successful everyone there.,0,reaction,neutral
yikes fr 😂 made my day Staff watch.,0,support,funny
😂 go kys Teach carry.,1,insult,insult
💀 💅 respect fr Citizen already environment.,0,neutral,positive opinion
🤡 wtf lmfao worthless Deal market rule.,1,insult,insult
bruh you inspire me! Base body according.,0,support,reaction
idk get lost Race month say activity.,1,hate speech,hate speech
😂 idiot At model billion.,1,sexual harassment,sexual harassment
fr lmfao that’s deep Face daughter.,0,support,funny
😭 deadass idiot Cover everything condition.,1,dark humor,dark humor
😂 lol 😭 nobody likes you Put central more.,1,hate speech,hate speech
wtf yikes 💀 no one listens to losers like you Camera professional.,1,sexual harassment,sexual harassment
idk worthless Cost half item.,1,insult,insult
🤡 lmfao this is trash Amount music power.,1,sexual harassment,sexual harassment
😭 yikes go touch grass Wish sit.,1,passive aggression,passive aggression
😭 fat pig Traditional.,1,insult,insult
deadass nobody likes you From million speech.,1,insult,insult
lmfao fat pig Determine reveal star.,1,dark humor,dark humor
lol this is wholesome Morning appear.,0,reaction,reaction
💀 💅 lol this hits Theory anyone hospital.,0,joke,funny
deadass idk built like a fridge Girl employee.,1,dark humor,dark humor
idk go touch grass Rather character process.,1,hate speech,hate speech
nah this is trash Increase president conference move.,1,sexual harassment,sexual harassment
💀 😂 deadass ugly af Control foreign care.,1,threat,threat
💅 wtf idk idiot Simple rich firm.,1,insult,insult
"🤡 😭 wtf this was really helpful, thanks Agent politics none.",0,gratitude,reaction
🤡 wtf 🤡 go touch grass Effort each true.,1,passive aggression,passive aggression
nah go touch grass Dark positive see.,1,insult,insult
deadass yikes fr so thoughtful! Best foot how.,0,gratitude,reaction
fr you're a joke Marriage community truth.,1,insult,insult
😂 💀 fr no one listens to losers like you Citizen task call feel.,1,threat,threat
😭 nah you inspire me! Well save.,0,encouragement,reaction
🤡 go kys Everything computer compare.,1,sexual harassment,sexual harassment
idk wtf you’re a legend for this Customer occur.,0,gratitude,positive opinion
yikes fr yikes this is wholesome Performance result.,0,neutral,reaction
🤡 idk love this Officer.,0,reaction,reaction
bruh love this Need herself program.,0,neutral,reaction
lol bruh this hits Military consider partner.,0,reaction,funny
idk nah fat pig Bill.,1,insult,insult
yikes nah so thoughtful! Kind require.,0,neutral,funny
deadass 😭 lmfao you inspire me! Newspaper region worry.,0,encouragement,neutral
wtf 😭 lol why are you even speaking? Third.,1,sexual harassment,sexual harassment
yikes you’re a legend for this Result recent condition.,0,encouragement,positive opinion
lol respect fr Its bring social.,0,reaction,positive opinion
💀 💀 you're a joke Bed music group.,1,passive aggression,passive aggression
"bruh deadass this was really helpful, thanks Decide thought.",0,gratitude,reaction
nah idk 🤡 go kys Training job number total.,1,passive aggression,passive aggression
lol nah 💅 no one cares about your opinion Often board study.,1,sexual harassment,sexual harassment
idk worthless Laugh its.,1,threat,threat
🤡 lmfao so thoughtful! She make.,0,encouragement,funny
